FECHA; TIPO DIA; DOCEAVO; NVEHICULOS; OCUPACION; MUESTRAS
2022-04-11 00:00:00.000;L;171;41,41404;12,69825;285
2022-04-10 00:00:00.000;F;161;28,07931;8,465517;290
2022-04-09 00:00:00.000;S;163;33,77586;9,186207;290
2022-04-08 00:00:00.000;L;171;44,8007;16;286
2022-04-07 00:00:00.000;L;171;42,75258;13,00687;291
2022-04-06 00:00:00.000;L;93;43,47917;11,81944;288
2022-04-05 00:00:00.000;L;95;44;14,10069;288
2022-04-04 00:00:00.000;L;96;43,13194;12,12153;288
2022-04-03 00:00:00.000;F;164;27,53684;6,568421;285
2022-04-02 00:00:00.000;S;171;34,22758;10,74483;290
2022-04-01 00:00:00.000;L;171;44,72758;15,52414;290
2022-03-31 00:00:00.000;L;94;45,1049;11,67832;286
2022-03-30 00:00:00.000;L;94;44,43599;11,70242;289
2022-03-29 00:00:00.000;L;94;44,28125;11,88542;288
2022-03-28 00:00:00.000;L;95;44,04167;11,79514;288
2022-03-27 00:00:00.000;F;169;25,65052;5,67474;289
2022-03-26 00:00:00.000;S;164;32,37153;8,267361;288
2022-03-25 00:00:00.000;L;176;44,89825;16,09123;285
2022-03-24 00:00:00.000;L;95;41,96181;14,08333;288
2022-03-23 00:00:00.000;L;171;42,03125;11,84722;288
2022-03-22 00:00:00.000;L;94;42,90034;12,46735;291
2022-03-21 00:00:00.000;L;95;42,07666;14,50174;287
2022-03-20 00:00:00.000;F;171;26,19014;5,757042;284
2022-03-19 00:00:00.000;S;164;33,37586;9,006897;290
2022-03-18 00:00:00.000;L;173;43,60554;14,87197;289
2022-03-17 00:00:00.000;L;96;43,33212;13,71168;274
2022-03-16 00:00:00.000;L;94;43,46643;13,21555;283
2022-03-15 00:00:00.000;L;95;43,55439;13,87719;285
2022-03-14 00:00:00.000;L;96;42,55147;14,70956;272
2022-03-13 00:00:00.000;F;233;26,64057;6,007117;281
2022-03-12 00:00:00.000;S;166;33,10676;7,790036;281
2022-03-11 00:00:00.000;L;94;43,62021;12,41812;287
2022-03-10 00:00:00.000;L;171;43,49826;12,94077;287
2022-03-09 00:00:00.000;L;96;45,72;13,31636;275
2022-03-08 00:00:00.000;L;171;43,62456;12,36491;285
2022-03-07 00:00:00.000;L;96;44,00694;13,98611;288
2022-03-06 00:00:00.000;F;242;33,15734;8,335665;286
2022-03-05 00:00:00.000;S;166;33,36267;7,68662;284
2022-03-04 00:00:00.000;L;171;45,04861;17,43403;288
2022-03-03 00:00:00.000;L;96;44,58333;14,46875;288
2022-03-02 00:00:00.000;L;96;44,92171;13,59431;281
2022-03-01 00:00:00.000;L;95;45,21053;14,47018;285
2022-02-28 00:00:00.000;F;241;28,53025;5,75089;281
2022-02-27 00:00:00.000;F;162;27,43158;6,098246;285
2022-02-26 00:00:00.000;S;171;29,69534;6,899642;279
2022-02-25 00:00:00.000;L;173;42,34737;15,3614;285
2022-02-24 00:00:00.000;L;96;45,07554;13,47482;278
2022-02-23 00:00:00.000;L;94;44,31429;13,41071;280
2022-02-22 00:00:00.000;L;96;45,16488;14,37276;279
2022-02-21 00:00:00.000;L;95;44,81786;12,74643;280
2022-02-20 00:00:00.000;F;249;27,47482;5,363309;278
2022-02-19 00:00:00.000;S;164;33,44643;8,214286;280
2022-02-18 00:00:00.000;L;171;46,92857;14,72857;280
2022-02-17 00:00:00.000;L;94;44,92143;12,35714;280
2022-02-16 00:00:00.000;L;94;45,38214;12,59643;280
2022-02-15 00:00:00.000;L;96;45,11071;12,88571;280
2022-02-14 00:00:00.000;L;95;45,18571;13,27857;280
2022-02-13 00:00:00.000;F;236;26,6426;5,144404;277
2022-02-12 00:00:00.000;S;171;32,6295;7,672662;278
2022-02-11 00:00:00.000;L;176;46,13572;16,33571;280
2022-02-10 00:00:00.000;L;94;45,4416;12,31387;274
2022-02-09 00:00:00.000;L;95;45,68613;12,36861;274
2022-02-08 00:00:00.000;L;95;45,0365;13,33942;274
2022-02-07 00:00:00.000;L;96;45,24074;12,4963;270
2022-02-06 00:00:00.000;F;248;28,07299;6,722628;274
2022-02-05 00:00:00.000;S;164;32,77037;8,714815;270
2022-02-04 00:00:00.000;L;171;46,41758;13,2674;273
2022-02-03 00:00:00.000;L;95;44,69565;11,98913;276
2022-02-02 00:00:00.000;L;95;45,67518;12,13869;274
2022-02-01 00:00:00.000;L;96;44,54412;11,60294;272
2022-01-31 00:00:00.000;L;94;44,54874;12,77617;277
2022-01-30 00:00:00.000;F;163;27,16968;7,624549;277
2022-01-29 00:00:00.000;S;171;33,61011;8,68953;277
2022-01-28 00:00:00.000;L;171;46,93863;14,87365;277
2022-01-27 00:00:00.000;L;95;43,95349;11,82946;258
2022-01-26 00:00:00.000;L;96;43,41445;10,82129;263
2022-01-25 00:00:00.000;L;96;43,43774;11,19245;265
2022-01-24 00:00:00.000;L;95;44,2197;12,11364;264
2022-01-23 00:00:00.000;F;233;24,04906;4,735849;265
2022-01-22 00:00:00.000;S;171;32,19623;7,766038;265
2022-01-21 00:00:00.000;L;173;45,73091;14,31273;275
2022-01-20 00:00:00.000;L;94;44,78571;12,03929;280
2022-01-19 00:00:00.000;L;95;44,88087;12,10469;277
2022-01-18 00:00:00.000;L;96;43,99278;11,6426;277
2022-01-17 00:00:00.000;L;96;43,76072;12,14286;280
2022-01-16 00:00:00.000;F;168;23,66072;5,321429;280
2022-01-15 00:00:00.000;S;171;32,37143;7,389286;280
2022-01-14 00:00:00.000;L;173;46,11071;14,51786;280
